Date,Country,State,Product_Category,Product_Name,Quantity,Base_Price_EUR,Discount_Percentage,Final_Price_EUR,Total_Sale_EUR,Order_ID,Dealer_ID,Warranty_Years,Payment_Terms,Delivery_Terms
2022-01-01 00:00:00.000000000,Austria,State 1,Concrete Preparation,Transit Mixer,3,73239.82,5.86,68947.2,206841.59,ORD-202201-6408,DEL-592,2,90 Days,CIF
2022-01-01 13:08:47.663831915,Russia,State 2,Concrete Pumps,Stationary Pump BP1400,3,126682.65,6.22,118808.23,356424.7,ORD-202201-1959,DEL-837,1,Immediate,FOB
2022-01-02 02:17:35.327663831,USA,Illinois,Concrete Pumps,Mobile Pump,2,246055.81,10.59,219993.34,439986.67,ORD-202201-2268,DEL-684,5,30 Days,EXW
2022-01-02 15:26:22.991495747,Russia,State 2,Concrete Pumps,Stationary Pump BP1800,3,175473.48,4.62,167366.46,502099.38,ORD-202201-6391,DEL-575,5,30 Days,CIF
2022-01-03 04:35:10.655327663,Germany,Bavaria,Placing Equipment,Concrete Placing Boom,3,90118.72,4.57,86003.1,258009.31,ORD-202201-6602,DEL-393,1,60 Days,CIF
2022-01-03 17:43:58.319159579,France,State 3,Special Equipment,Trenchless Equipment,2,143461.46,10.68,128132.85,256265.71,ORD-202201-7883,DEL-717,5,Immediate,EXW
2022-01-04 06:52:45.982991495,India,Tamil Nadu,Special Equipment,Trenchless Equipment,3,132678.19,0.38,132170.6,396511.8,ORD-202201-9533,DEL-979,5,90 Days,CIF
2022-01-04 20:01:33.646823411,China,Guangdong,Concrete Preparation,Concrete Batching Plant,2,212724.74,13.03,185004.41,370008.82,ORD-202201-8143,DEL-513,3,Immediate,EXW
2022-01-05 09:10:21.310655327,Netherlands,State 1,Concrete Preparation,Concrete Batching Plant,3,266973.79,13.39,231213.38,693640.15,ORD-202201-8518,DEL-227,2,30 Days,FOB
2022-01-05 22:19:08.974487243,Russia,State 3,Special Equipment,Sludge Pump,3,51129.66,5.24,48449.32,145347.96,ORD-202201-2172,DEL-549,5,90 Days,FOB
2022-01-06 11:27:56.638319159,Austria,State 1,Placing Equipment,Separate Placing Boom,2,70560.43,0.34,70318.85,140637.71,ORD-202201-4492,DEL-609,1,Immediate,CIF
2022-01-07 00:36:44.302151075,France,State 1,Concrete Preparation,Concrete Batching Plant,2,207499.21,5.58,195920.9,391841.81,ORD-202201-1026,DEL-577,2,90 Days,DDP
2022-01-07 13:45:31.965982991,UK,State 2,Placing Equipment,Concrete Placing Boom,2,100962.88,8.07,92810.5,185620.99,ORD-202201-5835,DEL-194,2,60 Days,FOB
