Date,Country,State,Product_Category,Product_Name,Quantity,Base_Price_EUR,Discount_Percentage,Final_Price_EUR,Total_Sale_EUR,Order_ID,Dealer_ID,Warranty_Years,Payment_Terms,Delivery_Terms
01-01-2022 00:00,India,Tamil Nadu,Concrete Preparation,Concrete Batching Plant,2,178697.76,0.92,177060.75,354121.5,ORD-202201-1110,DEL-464,5,Immediate,CIF
01-01-2022 13:08,India,Tamil Nadu,Concrete Preparation,Concrete Batching Plant,2,260470.5,1.91,255498.55,510997.11,ORD-202201-3427,DEL-529,1,30 Days,CIF
17:35.3,Brazil,State 3,Recycling Solutions,Washing Plant,2,161100.01,6.8,150145.7,300291.39,ORD-202201-5362,DEL-994,1,60 Days,FOB
26:23.0,Russia,State 1,Concrete Preparation,Concrete Batching Plant,2,139414.23,0.83,138254.72,276509.45,ORD-202201-1027,DEL-128,5,90 Days,CIF
35:10.7,Germany,Hesse,Recycling Solutions,Washing Plant,3,155859.16,5.25,147674.21,443022.64,ORD-202201-9353,DEL-214,2,60 Days,DDP
43:58.3,USA,California,Concrete Pumps,Stationary Pump BP1800,3,146278.18,12.89,127430.1,382290.3,ORD-202201-2082,DEL-487,3,Immediate,EXW
52:46.0,Australia,State 2,Special Equipment,Foundation Equipment,1,209941.22,12.28,184167.75,184167.75,ORD-202201-5903,DEL-140,5,30 Days,FOB
01:33.6,Brazil,State 3,Placing Equipment,Separate Placing Boom,1,80321.9,6.03,75478.35,75478.35,ORD-202201-7468,DEL-408,3,30 Days,EXW
10:21.3,India,Karnataka,Concrete Pumps,Stationary Pump BP1400,3,146685.93,11.03,130511.04,391533.11,ORD-202201-1349,DEL-931,1,30 Days,FOB
19:09.0,Austria,State 1,Placing Equipment,Separate Placing Boom,1,81189.88,8.81,74040.54,74040.54,ORD-202201-7279,DEL-384,5,30 Days,DDP
27:56.6,India,Telangana,Concrete Preparation,Transit Mixer,3,89591.52,7.7,82696.63,248089.9,ORD-202201-4582,DEL-381,5,60 Days,CIF
36:44.3,USA,Florida,Concrete Preparation,Transit Mixer,2,87508.87,5.58,82625.07,165250.13,ORD-202201-5885,DEL-567,3,60 Days,FOB
45:32.0,Russia,State 3,Concrete Preparation,Concrete Batching Plant,2,154932.29,11.74,136750.15,273500.3,ORD-202201-4445,DEL-370,3,Immediate,CIF
54:19.6,Austria,State 1,Placing Equipment,Concrete Placing Boom,3,120491.25,9.73,108761.67,326285.01,ORD-202201-4982,DEL-222,1,60 Days,CIF
03:07.3,Netherlands,State 3,Concrete Pumps,Stationary Pump BP350,2,75765.85,1.37,74729.32,149458.65,ORD-202201-1815,DEL-309,1,60 Days,FOB
11:55.0,USA,New York,Placing Equipment,Concrete Placing Boom,3,94454.33,6.79,88041.45,264124.36,ORD-202201-7802,DEL-437,1,Immediate,CIF
20:42.6,USA,California,Placing Equipment,Concrete Placing Boom,3,119483.13,6.36,111889.27,335667.8,ORD-202201-7658,DEL-180,1,60 Days,EXW
29:30.3,Brazil,State 1,Concrete Pumps,Stationary Pump BP1400,2,133450.54,2.43,130212.04,260424.07,ORD-202201-2265,DEL-782,5,Immediate,FOB
38:17.9,France,State 2,Special Equipment,Foundation Equipment,3,164527.65,14.43,140784.51,422353.52,ORD-202201-1864,DEL-362,2,90 Days,EXW
47:05.6,Austria,State 2,Placing Equipment,Separate Placing Boom,3,80568.99,9.38,73012.1,219036.31,ORD-202201-5482,DEL-214,1,Immediate,DDP
55:53.3,Sweden,State 1,Concrete Preparation,Transit Mixer,2,98555.42,7.25,91411.09,182822.18,ORD-202201-3864,DEL-972,1,30 Days,CIF
04:40.9,USA,California,Placing Equipment,Separate Placing Boom,3,78518.24,5.17,74457.98,223373.95,ORD-202201-3133,DEL-408,3,90 Days,EXW
13:28.6,USA,Texas,Placing Equipment,Separate Placing Boom,2,69242.35,2.47,67533.28,135066.56,ORD-202201-4324,DEL-578,5,Immediate,EXW
22:16.3,India,Telangana,Concrete Preparation,Transit Mixer,2,84203.33,13.98,72432.34,144864.68,ORD-202201-5750,DEL-598,3,90 Days,CIF
31:03.9,Russia,State 1,Special Equipment,Foundation Equipment,3,199639.78,1.73,196187.37,588562.12,ORD-202201-2877,DEL-650,3,90 Days,CIF
39:51.6,France,State 3,Recycling Solutions,Recycling Plant,3,263052.76,1.77,258400.63,775201.89,ORD-202201-7240,DEL-403,5,30 Days,FOB
48:39.3,Russia,State 1,Special Equipment,Sludge Pump,2,57179.11,4.36,54688.35,109376.7,ORD-202201-4327,DEL-270,1,30 Days,FOB
57:26.9,Russia,State 1,Concrete Pumps,Stationary Pump BP1400,2,153468.71,6.5,143490.61,286981.22,ORD-202201-6623,DEL-127,3,60 Days,EXW
06:14.6,Austria,State 3,Concrete Preparation,Concrete Batching Plant,1,171468.2,14.86,145985.1,145985.1,ORD-202201-3046,DEL-729,1,90 Days,CIF
15:02.3,India,Karnataka,Placing Equipment,Separate Placing Boom,2,66952.58,13.81,57704.22,115408.44,ORD-202201-8461,DEL-712,5,Immediate,DDP
23:49.9,Netherlands,State 2,Placing Equipment,Separate Placing Boom,2,95522.58,12.86,83235.92,166471.85,ORD-202201-9436,DEL-909,3,30 Days,CIF
32:37.6,USA,Texas,Concrete Pumps,Stationary Pump BP1400,2,110796.58,9.9,99826.85,199653.7,ORD-202201-5603,DEL-765,1,Immediate,FOB
41:25.2,Austria,State 2,Concrete Preparation,Transit Mixer,1,73704.99,3.78,70916.36,70916.36,ORD-202201-9722,DEL-501,2,Immediate,DDP
50:12.9,Sweden,State 2,Special Equipment,Sludge Pump,1,37256.81,11,33160.27,33160.27,ORD-202201-9246,DEL-189,1,30 Days,CIF
59:00.6,Sweden,State 1,Recycling Solutions,Washing Plant,2,114607.38,0.55,113978.6,227957.21,ORD-202201-3779,DEL-734,3,30 Days,CIF
07:48.2,UK,State 2,Recycling Solutions,Recycling Plant,2,224453.7,14.16,192666.57,385333.14,ORD-202201-9464,DEL-436,1,30 Days,FOB
16:35.9,USA,Florida,Placing Equipment,Separate Placing Boom,2,80944.92,12.8,70582.92,141165.83,ORD-202201-5751,DEL-957,3,90 Days,CIF
25:23.6,Austria,State 2,Recycling Solutions,Recycling Plant,2,247936.42,5.95,233174.44,466348.88,ORD-202201-3937,DEL-682,1,Immediate,FOB
34:11.2,UK,State 2,Placing Equipment,Concrete Placing Boom,3,118519.78,1.91,116255.4,348766.2,ORD-202201-3632,DEL-160,5,90 Days,DDP
42:58.9,Brazil,State 1,Special Equipment,Foundation Equipment,1,163741.3,8.59,149672.23,149672.23,ORD-202201-3295,DEL-377,1,30 Days,CIF
51:46.6,Russia,State 2,Concrete Pumps,Stationary Pump BP1400,3,160392.24,6.49,149986.59,449959.76,ORD-202201-1670,DEL-298,1,30 Days,FOB
00:34.2,Sweden,State 1,Concrete Preparation,Transit Mixer,3,105398.28,8.64,96289.15,288867.44,ORD-202201-9164,DEL-138,3,Immediate,DDP
09:21.9,Austria,State 1,Concrete Preparation,Transit Mixer,3,100312.91,13.11,87158.84,261476.53,ORD-202201-8596,DEL-968,3,90 Days,DDP
18:09.5,India,Karnataka,Placing Equipment,Separate Placing Boom,3,101775.59,7.74,93894.24,281682.72,ORD-202201-4542,DEL-297,1,60 Days,CIF
26:57.2,India,Kerala,Special Equipment,Foundation Equipment,1,162196.39,0.55,161311.07,161311.07,ORD-202201-7069,DEL-878,1,Immediate,FOB
35:44.9,Brazil,State 3,Special Equipment,Trenchless Equipment,2,106700.63,11.3,94645,189290,ORD-202201-1795,DEL-181,1,Immediate,DDP
44:32.5,France,State 3,Concrete Preparation,Transit Mixer,2,86525.61,0.48,86111.92,172223.85,ORD-202201-4952,DEL-400,2,30 Days,DDP
53:20.2,Sweden,State 2,Special Equipment,Sludge Pump,1,66114.75,2.25,64628.76,64628.76,ORD-202201-2712,DEL-101,2,30 Days,FOB
02:07.9,Germany,Baden-Württemberg,Concrete Preparation,Concrete Batching Plant,3,243982.65,8.26,223823.46,671470.39,ORD-202201-8406,DEL-759,3,30 Days,EXW
10:55.5,France,State 1,Placing Equipment,Separate Placing Boom,1,98889.8,3.42,95506.59,95506.59,ORD-202201-9303,DEL-684,5,60 Days,EXW
19:43.2,India,Kerala,Concrete Preparation,Transit Mixer,1,85031.7,0.95,84221.09,84221.09,ORD-202201-4598,DEL-291,2,60 Days,CIF
28:30.9,Germany,Hesse,Concrete Pumps,Stationary Pump BP1800,1,184929.17,3.36,178716.28,178716.28,ORD-202201-9372,DEL-648,2,30 Days,FOB
37:18.5,Brazil,State 3,Concrete Preparation,Concrete Batching Plant,1,154767.17,5.8,145787.17,145787.17,ORD-202201-2521,DEL-609,2,90 Days,EXW
46:06.2,Austria,State 3,Concrete Preparation,Transit Mixer,1,96818.19,2.55,94351.03,94351.03,ORD-202201-1145,DEL-697,2,Immediate,DDP
54:53.8,Austria,State 1,Concrete Pumps,Mobile Pump,1,245402.23,14.1,210810,210810,ORD-202201-7432,DEL-290,1,30 Days,DDP
03:41.5,Netherlands,State 3,Special Equipment,Foundation Equipment,3,143584.3,12.96,124969.95,374909.86,ORD-202201-6214,DEL-572,3,Immediate,EXW
12:29.2,Russia,State 2,Recycling Solutions,Washing Plant,1,133057.88,7.9,122544.96,122544.96,ORD-202201-5259,DEL-161,5,Immediate,EXW
21:16.8,India,Gujarat,Placing Equipment,Concrete Placing Boom,2,115421.18,14.98,98134.03,196268.06,ORD-202202-2039,DEL-674,3,Immediate,CIF
30:04.5,France,State 1,Concrete Pumps,Stationary Pump BP350,3,74599.77,4.64,71138.05,213414.15,ORD-202202-1238,DEL-125,3,90 Days,CIF
38:52.2,Australia,State 2,Recycling Solutions,Washing Plant,2,172616.9,12.26,151455.92,302911.85,ORD-202202-9170,DEL-931,1,60 Days,DDP
47:39.8,UK,State 1,Concrete Preparation,Transit Mixer,3,88320.09,4.88,84010.25,252030.74,ORD-202202-9798,DEL-225,1,90 Days,CIF
56:27.5,France,State 3,Placing Equipment,Separate Placing Boom,3,63595.65,11.7,56155.13,168465.39,ORD-202202-3463,DEL-309,5,90 Days,CIF
05:15.2,India,Tamil Nadu,Concrete Pumps,Stationary Pump BP1400,3,141483.86,14.14,121484.28,364452.84,ORD-202202-3135,DEL-129,5,Immediate,FOB
14:02.8,Russia,State 3,Special Equipment,Foundation Equipment,3,169487.72,3.09,164250.07,492750.21,ORD-202202-6479,DEL-363,2,Immediate,FOB
